,Github Username,Week,Tested Method,Score
0,walidalbaki,week1,age_in_seconds.rb,0.0
1,walidalbaki,week1,author_age.rb,0.0
2,walidalbaki,week1,hours_in_year.rb,2.0
3,walidalbaki,week1,minutes_in_decade.rb,0.0
4,walidalbaki,week1,bigger_better_favorite_number.rb,2.0
5,walidalbaki,week1,greeting.rb,2.0
6,walidalbaki,week1,angry_boss.rb,2.0
7,walidalbaki,week1,table.rb,0.0
8,MichelleC4,week1,age_in_seconds.rb,0.0
9,MichelleC4,week1,author_age.rb,2.0
10,MichelleC4,week1,hours_in_year.rb,2.0
11,MichelleC4,week1,minutes_in_decade.rb,2.0
12,MichelleC4,week1,bigger_better_favorite_number.rb,2.0
13,MichelleC4,week1,greeting.rb,0.0
14,MichelleC4,week1,angry_boss.rb,2.0
15,MichelleC4,week1,table.rb,0.0
16,kevinchai0,week1,age_in_seconds.rb,0.0
17,kevinchai0,week1,author_age.rb,2.0
18,kevinchai0,week1,hours_in_year.rb,2.0
19,kevinchai0,week1,minutes_in_decade.rb,2.0
20,kevinchai0,week1,bigger_better_favorite_number.rb,2.0
21,kevinchai0,week1,greeting.rb,0.0
22,kevinchai0,week1,angry_boss.rb,2.0
23,kevinchai0,week1,table.rb,0.0
